model_or_ablation,macro_mae,macro_r2
POP_MEAN,16.294069215655327,-0.003295480578113019
NO_CHANGE,31.556838631629944,-6.780091700537617
RIDGE,14.66062268614769,0.11762220551987924
GBT,12.810205981135368,0.3620231774272844
MLP_RAW,15.507023230195045,-0.10277593783591081
GRU_E2E,13.66656070202589,0.28847937478838875
TSENCODER_E2E,13.734465055167675,0.27020045096676715
JEPA_RIDGE|full,14.77679980546236,0.19219177995443676
JEPA_RIDGE_PRED|full,14.616556718945503,0.15515987537980402
JEPA_TWIN|full,16.963165745139122,-0.09516775779430699
JEPA_RIDGE|small_z,14.483996905386448,0.20971739063080758
JEPA_RIDGE_PRED|small_z,14.584703899919987,0.14071364395807268
JEPA_TWIN|small_z,16.609056547284126,-0.04689386576469044
JEPA_RIDGE|no_sigreg,14.408035568892956,0.20738199357665604
JEPA_RIDGE_PRED|no_sigreg,14.357053898274899,0.1804606257137977
JEPA_TWIN|no_sigreg,16.60554827749729,-0.0623039369790941
JEPA_RIDGE|no_orth,14.777810275554657,0.19217996895549377
JEPA_RIDGE_PRED|no_orth,14.600479565560818,0.15658878917211688
JEPA_TWIN|no_orth,16.94961965084076,-0.0920185812929402
JEPA_RIDGE|no_lewm,14.410133212804794,0.2071783684536373
JEPA_RIDGE_PRED|no_lewm,14.347291484475136,0.17996537163184156
JEPA_TWIN|no_lewm,16.64997673034668,-0.06385654371136636
JEPA_RIDGE|concat,14.609428226947784,0.19109763778664543
JEPA_RIDGE_PRED|concat,14.762952364981174,0.13241558357387587
JEPA_TWIN|concat,16.858550116419792,-0.08143071492923515
JEPA_RIDGE|vanilla,14.482648000121117,0.18912083018808495
JEPA_RIDGE_PRED|vanilla,14.845642320811749,0.15000582377077615
JEPA_TWIN|vanilla,16.406065180897713,-0.06155995678966894